LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.01,0.1,1,72.065,80.747,9.210000187158585,89.47000503540039
0.01,0.1,10,74.997,84.737,0.7699999958276749,90.21499752998352
0.01,0.1,25,82.465,87.03200000000001,53.21999788284302,91.35500192642212
0.01,0.1,50,81.767,88.215,34.25000011920929,92.535001039505
0.01,0.1,75,82.25,88.731,33.890002965927124,92.41499900817871
0.01,0.1,90,80.532,88.811,16.290000081062317,92.06000566482544
0.01,0.1,100,81.653,88.675,28.15999984741211,92.13501214981079
0.01,0.01,1,80.078,71.09,93.8599944114685,41.34000241756439
0.01,0.01,10,85.00399999999999,80.73400000000001,97.01000452041626,68.4249997138977
0.01,0.01,25,86.74300000000001,82.06300000000002,98.5200047492981,67.73499250411987
0.01,0.01,50,87.904,82.841,98.99999499320984,66.82499647140503
0.01,0.01,75,87.517,83.19000000000001,98.9799976348877,70.40499448776245
0.01,0.01,90,87.69800000000001,82.654,99.02999997138977,66.14500284194946
0.01,0.01,100,87.739,83.04099999999998,99.01000261306763,67.97999143600464
0.01,0.001,1,79.92999999999999,70.42300000000002,94.09000277519226,36.10000014305115
0.01,0.001,10,84.67800000000001,74.985,97.24999666213989,42.1999990940094
0.01,0.001,25,87.057,80.22600000000001,98.78999590873718,57.58499503135681
0.01,0.001,50,87.307,81.252,99.12999868392944,61.26999258995056
0.01,0.001,75,88.053,84.58699999999999,99.19999837875366,75.01499652862549
0.01,0.001,90,87.86800000000001,82.105,99.23999905586243,63.0050003528595
0.01,0.001,100,87.74700000000001,82.65,99.15000200271606,66.77500009536743
0.001,0.1,1,69.62199999999999,77.378,11.030000448226929,88.33000063896179
0.001,0.1,10,73.14399999999999,81.939,10.23000031709671,90.54499864578247
0.001,0.1,25,77.46399999999998,83.11099999999999,41.11999869346619,89.55999612808228
0.001,0.1,50,76.03399999999999,84.41400000000002,14.919999241828918,90.21499752998352
0.001,0.1,75,76.147,85.09400000000001,8.479999750852585,90.60999751091003
0.001,0.1,90,78.371,85.426,27.68000066280365,91.17000699043274
0.001,0.1,100,79.171,85.67800000000001,33.59000086784363,90.88500738143921
0.001,0.01,1,77.82600000000001,68.48600000000002,91.92999601364136,41.58500134944916
0.001,0.01,10,81.225,72.099,93.94999742507935,42.55000054836273
0.001,0.01,25,82.97200000000001,78.18599999999999,95.23999094963074,64.74499702453613
0.001,0.01,50,84.23999999999998,79.898,96.10999822616577,67.96000003814697
0.001,0.01,75,84.82900000000001,79.54400000000001,96.98001146316528,63.55499625205994
0.001,0.01,90,85.18800000000002,80.677,97.11999893188477,67.25000143051147
0.001,0.01,100,85.39599999999999,80.901,97.25000262260437,68.4249997138977
0.001,0.001,1,77.595,68.106,92.7500069141388,37.97999918460846
0.001,0.001,10,81.13499999999999,71.57700000000001,94.03001070022583,39.215001463890076
0.001,0.001,25,82.92500000000001,73.333,95.41000127792358,41.2600040435791
0.001,0.001,50,84.385,74.709,96.29999995231628,42.649999260902405
0.001,0.001,75,85.12199999999999,75.339,96.9700038433075,42.80499517917633
0.001,0.001,90,85.619,75.889,97.24000096321106,43.05500090122223
0.001,0.001,100,85.49600000000001,75.686,97.6099967956543,42.514997720718384
1e-05,0.1,1,77.68800000000002,68.423,89.79998826980591,43.425002694129944
1e-05,0.1,10,76.374,67.804,83.17999839782715,45.34500241279602
1e-05,0.1,25,75.181,67.577,75.6100058555603,46.32999300956726
1e-05,0.1,50,73.626,74.89500000000001,57.30999708175659,79.73500490188599
1e-05,0.1,75,71.328,76.804,30.629998445510864,87.51500248908997
1e-05,0.1,90,70.64900000000002,77.238,20.989999175071716,88.20500373840332
1e-05,0.1,100,70.315,77.39000000000001,16.00000113248825,88.41500282287598
1e-05,0.01,1,77.58600000000001,68.31800000000001,90.56000709533691,42.34499931335449
1e-05,0.01,10,77.19500000000001,67.787,91.33000373840332,41.51500165462494
1e-05,0.01,25,77.19199999999998,67.782,91.50999784469604,40.73500037193298
1e-05,0.01,50,77.257,68.045,91.75999760627747,40.4699981212616
1e-05,0.01,75,77.649,68.374,91.84001088142395,40.63499867916107
1e-05,0.01,90,77.876,68.505,91.92999601364136,40.720000863075256
1e-05,0.01,100,78.032,68.724,91.98999404907227,40.880003571510315
1e-05,0.001,1,77.59400000000001,68.24399999999999,90.6000018119812,42.22000241279602
1e-05,0.001,10,77.21200000000002,67.809,91.74998998641968,41.09500050544739
1e-05,0.001,25,77.17699999999999,67.72,92.11999773979187,39.72000181674957
1e-05,0.001,50,77.108,67.78200000000001,92.50999689102173,38.805001974105835
1e-05,0.001,75,77.417,68.05,92.59001016616821,38.62000107765198
1e-05,0.001,90,77.622,68.175,92.75999069213867,38.2750004529953
1e-05,0.001,100,77.68499999999999,68.296,92.81999468803406,38.28999698162079
1e-06,0.1,1,77.68900000000001,68.23100000000001,90.10000228881836,42.89500117301941
1e-06,0.1,10,77.683,68.33500000000001,89.79998826980591,43.48999857902527
1e-06,0.1,25,77.368,68.425,88.17999958992004,44.08999979496002
1e-06,0.1,50,76.986,68.07499999999999,86.19999885559082,44.530001282691956
1e-06,0.1,75,76.72,67.942,85.17001271247864,45.080000162124634
1e-06,0.1,90,76.546,67.83000000000001,84.11000370979309,45.31000256538391
1e-06,0.1,100,76.385,67.77,83.160001039505,45.500001311302185
1e-06,0.01,1,77.66399999999999,68.279,90.10000228881836,42.66499876976013
1e-06,0.01,10,77.58099999999999,68.314,90.53999781608582,42.35500395298004
1e-06,0.01,25,77.39500000000001,68.08600000000001,90.6000018119812,41.89000129699707
1e-06,0.01,50,77.28299999999999,67.838,90.79999923706055,41.714996099472046
1e-06,0.01,75,77.176,67.877,91.0099983215332,41.66499674320221
1e-06,0.01,90,77.173,67.874,91.14999771118164,41.50500297546387
1e-06,0.01,100,77.19800000000001,67.828,91.29999876022339,41.43000245094299
1e-06,0.001,1,77.66199999999999,68.215,90.10000228881836,42.649999260902405
1e-06,0.001,10,77.607,68.307,90.6000018119812,42.21000075340271
1e-06,0.001,25,77.34599999999999,67.944,90.79999923706055,41.554999351501465
1e-06,0.001,50,77.292,67.826,91.37999415397644,41.349998116493225
1e-06,0.001,75,77.20100000000001,67.727,91.57999753952026,41.15000367164612
1e-06,0.001,90,77.217,67.73100000000001,91.67999029159546,41.10000133514404
1e-06,0.001,100,77.218,67.733,91.7199969291687,41.01499915122986
