LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.01,0.1,1,85.605,90.023,32.995596528053284,84.8127543926239
0.01,0.1,10,95.41399999999999,92.901,97.96475172042847,87.18446493148804
0.01,0.1,25,96.46900000000001,94.57500000000002,98.42289686203003,90.2172863483429
0.01,0.1,50,97.11300000000001,95.467,98.53744506835938,91.1511778831482
0.01,0.1,75,97.441,95.708,98.54625463485718,90.81369638442993
0.01,0.1,90,97.634,96.03,98.58150482177734,91.58113598823547
0.01,0.1,100,97.72999999999999,96.162,98.54625463485718,91.54415130615234
0.01,0.01,1,92.964,81.807,99.18062090873718,47.05963730812073
0.01,0.01,10,95.34299999999999,86.565,99.74449276924133,58.922791481018066
0.01,0.01,25,96.194,89.304,99.83260035514832,67.71613359451294
0.01,0.01,50,97.072,91.11600000000001,99.85902905464172,71.9556212425232
0.01,0.01,75,97.365,91.63199999999999,99.9118983745575,73.06981086730957
0.01,0.01,90,97.63700000000001,91.969,99.90308880805969,73.49976897239685
0.01,0.01,100,97.732,92.32000000000001,99.9383270740509,74.53536987304688
0.01,0.001,1,92.95000000000002,81.688,99.7885525226593,46.51409983634949
0.01,0.001,10,95.346,84.143,99.5859146118164,47.249191999435425
0.01,0.001,25,96.36600000000001,85.037,99.80616569519043,47.43874669075012
0.01,0.001,50,97.035,86.203,99.89427328109741,49.60240423679352
0.01,0.001,75,97.453,87.77000000000001,99.93831515312195,54.86823916435242
0.01,0.001,90,97.46000000000001,88.12899999999999,99.89426732063293,56.5557062625885
0.01,0.001,100,97.567,88.716,99.90307688713074,58.56218934059143
0.001,0.1,1,86.43400000000001,81.58899999999998,68.73127818107605,60.286641120910645
0.001,0.1,10,85.914,89.88399999999999,35.63876748085022,83.72631072998047
0.001,0.1,25,90.36099999999999,90.655,64.04405236244202,82.27924108505249
0.001,0.1,50,94.063,91.59799999999998,90.66961407661438,83.35183262825012
0.001,0.1,75,95.11500000000001,92.428,96.96916341781616,85.92232465744019
0.001,0.1,90,95.316,92.712,97.60352969169617,86.37539744377136
0.001,0.1,100,95.49,92.814,98.03524017333984,86.54184341430664
0.001,0.01,1,90.611,79.591,99.73567724227905,46.477118134498596
0.001,0.01,10,93.03,81.832,99.2510974407196,47.00416028499603
0.001,0.01,25,94.10399999999998,82.993,99.14536476135254,47.50346541404724
0.001,0.01,50,94.734,84.085,99.31278228759766,49.819692969322205
